Num_acc,Date,Conditions Lumineuses,Conditions Atmosphériques,Etat Surface,Catégorie Route,Vitesse Maximale Autorisée,Type Collision,Nombre Véhicules Impliqués,Nombre Usagers Impliqués,Gravité
1667,2022-01-17 08:07:20,Nuit,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,4.0,0.0
1668,2022-01-14 11:28:33,Jour,Normal,Sec,Voie Communale,40.0,Frontale,,4.0,1.0
1669,2022-01-01 20:26:53,Nuit,Normal,Sec,70.0,70.0,Autre,1.0,1.0,0.0
1672,2022-01-16 14:39:54,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,4.0,0.0
1673,2022-01-05 16:05:55,Jour,Normal,Sec,Voie Communale,40.0,Autre,,1.0,
1674,2022-01-29 16:12:08,Jour,Normal,Sec,Route Départementale,75.0,,,,0.0
1676,2022-01-25 17:44:04,Nuit,Normal,Sec,90.0,90.0,Autre,1.0,3.0,1.0
1677,2022-01-29 02:01:42,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,2.0,1.0
1678,2022-01-25 04:36:50,Nuit,Normal,Sec,Route Départementale,75.0,,2.0,,0.0
1679,2022-01-10 23:30:33,Nuit,Normal,Sec,Voie Communale,40.0,,2.0,2.0,1.0
1680,2022-01-22 10:27:29,Jour,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,,1.0
1683,2022-01-13 23:27:58,Nuit,Normal,Sec,Route Départementale,80.0,Par l'arrière,2.0,,0.0
1687,2022-01-25 17:34:20,Nuit,Normal,Sec,Route Départementale,70.0,,1.0,,1.0
1688,2022-01-12 09:46:52,Jour,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,,1.0
1689,2022-01-13 14:38:55,Jour,Normal,Sec,Route Départementale,80.0,Autre,1.0,,0.0
1691,2022-01-06 04:07:53,Nuit,Normal,Sec,Voie Communale,30.0,Autre,,1.0,0.0
1692,2022-01-22 08:11:15,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,0.0
1694,2022-01-20 13:41:21,Jour,Normal,Sec,Route Départementale,70.0,Autre,,2.0,0.0
1696,2022-01-01 17:49:52,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,,0.0
1698,2022-01-20 06:58:41,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,4.0,
1699,2022-01-12 15:08:31,Jour,Normal,Sec,50.0,50.0,Par le coté,,2.0,
1701,2022-01-14 06:27:38,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,3.0,0.0
1702,2022-01-31 23:47:19,Nuit,Normal,Sec,Voie Communale,50.0,,1.0,1.0,
1705,2022-01-11 10:18:30,Jour,Normal,Sec,Voie Communale,50.0,,1.0,,0.0
1706,2022-01-26 12:03:39,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,2.0,0.0
1709,2022-01-14 06:11:33,Nuit,Normal,Sec,Autoroute,130.0,,1.0,2.0,
1710,2022-01-12 18:45:51,Nuit,Normal,Sec,Route Départementale,75.0,Frontale,2.0,2.0,1.0
1711,2022-01-31 14:35:39,Jour,Normal,Sec,80.0,80.0,Autre,1.0,4.0,0.0
1712,2022-01-22 16:18:24,Jour,Normal,Sec,Route Départementale,80.0,,1.0,1.0,0.0
1716,2022-01-20 02:57:12,Nuit,Normal,Sec,Route Départementale,70.0,Autre,,,0.0
1719,2022-01-27 09:04:59,Jour,Normal,Sec,Autoroute,130.0,Par l'arrière,,,0.0
1721,2022-01-18 15:46:19,Jour,Normal,Sec,Route Nationale,110.0,Frontale,2.0,2.0,
1723,2022-01-29 23:39:41,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,2.0,1.0
1726,2022-01-13 13:55:10,Jour,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,,1.0
1727,2022-01-29 06:23:58,Nuit,Normal,Sec,Route Nationale,100.0,Autre,1.0,,0.0
1728,2022-01-18 03:37:25,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,,4.0,
1731,2022-01-15 12:09:38,Jour,Normal,Sec,80.0,80.0,Par l'arrière,2.0,,0.0
1733,2022-01-06 09:25:10,Jour,Normal,Sec,Route Départementale,70.0,Autre,3.0,,
1734,2022-01-14 01:39:41,Nuit,Normal,Sec,Route Nationale,110.0,Frontale,2.0,4.0,0.0
1735,2022-01-06 04:01:40,Nuit,Normal,Sec,Autoroute,130.0,Frontale,2.0,,0.0
1736,2022-01-20 15:57:50,Jour,Normal,Sec,50.0,50.0,Frontale,2.0,,0.0
1737,2022-01-01 16:28:19,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,3.0,0.0
1739,2022-01-10 19:27:15,Nuit,Normal,Sec,Voie Communale,30.0,Autre,,,0.0
1740,2022-01-25 18:15:33,Nuit,Normal,Sec,70.0,70.0,,2.0,2.0,0.0
1743,2022-01-15 11:43:43,Jour,Normal,Sec,Autoroute,130.0,,2.0,4.0,0.0
1744,2022-01-05 11:29:58,Jour,Normal,Sec,80.0,80.0,,2.0,2.0,1.0
1747,2022-01-26 07:51:36,Nuit,Normal,Sec,70.0,70.0,Par le coté,2.0,2.0,1.0
1749,2022-01-31 15:42:50,Jour,Normal,Sec,50.0,50.0,,2.0,,
1750,2022-01-02 18:23:47,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,3.0,
1751,2022-01-26 05:05:35,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,,1.0
1752,2022-01-14 18:25:36,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,3.0,0.0
1753,2022-01-13 11:00:43,Jour,Normal,Sec,70.0,70.0,Par le coté,2.0,4.0,0.0
1755,2022-01-18 11:29:32,Jour,Normal,Sec,110.0,110.0,Frontale,2.0,2.0,1.0
1756,2022-01-29 01:15:02,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,,0.0
1757,2022-01-02 01:02:29,Nuit,Normal,Sec,Route Départementale,70.0,Autre,,2.0,0.0
1759,2022-01-17 23:36:27,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,,
1760,2022-01-11 18:46:15,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,,
1762,2022-01-02 12:05:06,Jour,Normal,Sec,80.0,80.0,Par le coté,2.0,2.0,1.0
1763,2022-01-21 06:44:20,Nuit,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,5.0,0.0
1765,2022-01-02 06:38:49,Nuit,Normal,Sec,80.0,80.0,Autre,,1.0,0.0
1766,2022-01-26 22:50:42,Nuit,Normal,Sec,Voie Communale,40.0,,,6.0,1.0
1768,2022-01-01 19:59:51,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,1.0,0.0
1770,2022-01-20 03:48:57,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,1.0,0.0
1771,2022-01-29 16:12:14,Jour,Normal,Sec,Route Départementale,75.0,Autre,1.0,1.0,1.0
1772,2022-01-24 23:17:04,Nuit,Normal,Sec,Route Départementale,70.0,,,,1.0
1775,2022-01-15 06:52:37,Nuit,Normal,Sec,Voie Communale,40.0,Par l'arrière,2.0,,
1776,2022-01-02 09:46:56,Jour,Normal,Sec,Voie Communale,30.0,Frontale,2.0,,1.0
1777,2022-01-12 09:19:04,Jour,Normal,Sec,Voie Communale,40.0,,2.0,3.0,
1778,2022-01-20 15:41:58,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,6.0,
1779,2022-01-27 09:37:28,Jour,Normal,Sec,Route Départementale,75.0,,2.0,,1.0
1782,2022-01-01 18:46:59,Nuit,Normal,Sec,70.0,70.0,Par l'arrière,2.0,,1.0
1783,2022-01-17 14:43:02,Jour,Normal,Sec,Voie Communale,40.0,,1.0,1.0,
1784,2022-01-13 20:32:14,Nuit,Normal,Sec,Voie Communale,40.0,Frontale,2.0,2.0,
1786,2022-01-12 03:24:02,Nuit,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,,0.0
1788,2022-01-02 20:54:29,Nuit,Normal,Sec,80.0,80.0,,1.0,1.0,
1790,2022-01-16 00:55:04,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,,0.0
1792,2022-01-16 03:30:31,Nuit,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,5.0,0.0
1793,2022-01-13 23:54:21,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,,1.0
1794,2022-01-23 21:05:51,Nuit,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,,0.0
1796,2022-01-29 06:35:57,Nuit,Normal,Sec,Route Nationale,110.0,,2.0,3.0,0.0
1797,2022-01-21 00:41:26,Nuit,Normal,Sec,Voie Communale,30.0,,,,0.0
1798,2022-01-01 09:00:26,Jour,Normal,Sec,Route Départementale,80.0,Par l'arrière,2.0,2.0,0.0
1801,2022-01-06 23:35:11,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,,0.0
1802,2022-01-22 09:57:51,Jour,Normal,Sec,Voie Communale,40.0,Autre,1.0,,0.0
1804,2022-01-28 00:48:15,Nuit,Normal,Sec,Voie Communale,50.0,Autre,1.0,4.0,0.0
1807,2022-01-17 20:06:39,Nuit,Normal,Sec,70.0,70.0,,,1.0,0.0
1810,2022-01-18 18:28:44,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,2.0,0.0
1811,2022-01-30 19:49:21,Nuit,Normal,Sec,50.0,50.0,Autre,,1.0,0.0
1812,2022-01-02 20:36:08,Nuit,Normal,Sec,Route Départementale,80.0,Par l'arrière,2.0,,1.0
1813,2022-01-15 00:48:10,Nuit,Normal,Sec,Voie Communale,30.0,Par l'arrière,2.0,4.0,
1816,2022-01-31 14:10:05,Jour,Normal,Sec,Route Départementale,80.0,Frontale,2.0,4.0,1.0
1817,2022-01-18 10:06:49,Jour,Normal,Sec,50.0,50.0,Frontale,2.0,6.0,1.0
1818,2022-01-21 17:19:19,Jour,Normal,Sec,Voie Communale,30.0,,2.0,,
1819,2022-01-26 20:23:05,Nuit,Normal,Sec,Voie Communale,30.0,Par l'arrière,2.0,3.0,
1823,2022-01-16 05:20:03,Nuit,Normal,Sec,50.0,50.0,,,3.0,
1825,2022-01-02 07:14:57,Nuit,Normal,Sec,50.0,50.0,Frontale,2.0,2.0,0.0
1830,2022-01-11 10:12:27,Jour,Normal,Sec,Route Départementale,80.0,,,4.0,0.0
1834,2022-01-13 12:25:31,Jour,Normal,Sec,Voie Communale,40.0,Par l'arrière,,2.0,
1837,2022-01-25 19:40:56,Nuit,Normal,Sec,70.0,70.0,,2.0,3.0,
1838,2022-01-13 07:53:12,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,1.0,
1839,2022-01-25 15:16:04,Jour,Normal,Sec,80.0,80.0,Frontale,,,0.0
1840,2022-01-20 15:44:56,Jour,Normal,Sec,Route Nationale,90.0,Autre,1.0,,0.0
1841,2022-01-30 00:42:42,Nuit,Normal,Sec,Voie Communale,50.0,,1.0,1.0,0.0
1843,2022-01-02 23:05:34,Nuit,Normal,Sec,Autoroute,130.0,,1.0,,
1845,2022-01-05 05:55:52,Nuit,Normal,Sec,Route Départementale,70.0,,2.0,2.0,
1846,2022-01-05 15:30:55,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,,,
1847,2022-01-31 09:24:52,Jour,Normal,Sec,90.0,90.0,Par l'arrière,2.0,2.0,0.0
1849,2022-01-23 18:18:56,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,,,0.0
1850,2022-01-01 23:12:24,Nuit,Normal,Sec,Voie Communale,30.0,Autre,1.0,1.0,
1851,2022-01-17 20:12:41,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,2.0,0.0
1852,2022-01-05 02:40:37,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,,0.0
1853,2022-01-10 05:07:36,Nuit,Normal,Sec,Route Départementale,75.0,,1.0,1.0,0.0
1854,2022-01-31 08:02:18,Nuit,Normal,Sec,Route Départementale,70.0,Par le coté,,4.0,
1856,2022-01-13 17:17:31,Jour,Normal,Sec,Autoroute,130.0,Par le coté,,3.0,0.0
1859,2022-01-24 19:32:05,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,,0.0
1862,2022-01-21 15:39:51,Jour,Normal,Sec,Route Nationale,110.0,Autre,,1.0,
1865,2022-01-15 03:38:28,Nuit,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,6.0,0.0
1866,2022-01-22 18:50:21,Nuit,Normal,Sec,Route Départementale,80.0,Autre,1.0,,0.0
1867,2022-01-10 03:10:19,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,,
1869,2022-01-21 11:41:00,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,4.0,
1870,2022-01-22 02:08:33,Nuit,Normal,Sec,Voie Communale,50.0,Frontale,,3.0,1.0
1872,2022-01-25 18:17:45,Nuit,Normal,Sec,50.0,50.0,Autre,,1.0,
1873,2022-01-01 09:05:13,Jour,Normal,Sec,Route Départementale,75.0,,,4.0,
1874,2022-01-11 05:21:52,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,5.0,
1875,2022-01-01 02:52:35,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,,4.0,0.0
1876,2022-01-29 04:32:39,Nuit,Normal,Sec,80.0,80.0,Autre,1.0,1.0,0.0
1878,2022-01-27 11:00:14,Jour,Normal,Sec,90.0,90.0,Par le coté,2.0,3.0,0.0
1880,2022-01-29 12:55:45,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,,0.0
1884,2022-01-22 06:21:31,Nuit,Normal,Sec,Voie Communale,30.0,,1.0,1.0,1.0
1886,2022-01-02 15:56:18,Jour,Normal,Sec,Voie Communale,50.0,,2.0,4.0,0.0
1888,2022-01-11 20:12:28,Nuit,Normal,Sec,Voie Communale,50.0,Frontale,2.0,7.0,0.0
1889,2022-01-20 15:17:23,Jour,Normal,Sec,Route Départementale,75.0,Frontale,2.0,2.0,
1890,2022-01-26 14:22:40,Jour,Normal,Sec,Route Nationale,110.0,Par le coté,2.0,7.0,1.0
1892,2022-01-01 10:49:13,Jour,Normal,Sec,50.0,50.0,Autre,1.0,3.0,0.0
1895,2022-01-30 11:21:58,Jour,Normal,Sec,50.0,50.0,Autre,1.0,1.0,
1897,2022-01-02 01:12:17,Nuit,Normal,Sec,Voie Communale,40.0,,,4.0,0.0
1898,2022-01-31 13:21:06,Jour,Normal,Sec,80.0,80.0,Autre,1.0,,
1900,2022-01-30 22:31:26,Nuit,Normal,Sec,Route Nationale,90.0,Autre,1.0,,
1901,2022-01-24 00:42:09,Nuit,Normal,Sec,Voie Communale,50.0,,,2.0,0.0
1902,2022-01-05 09:16:13,Jour,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,6.0,0.0
1903,2022-01-14 22:08:07,Nuit,Normal,Sec,Route Départementale,70.0,Par le coté,,2.0,0.0
1904,2022-01-13 01:33:44,Nuit,Normal,Sec,90.0,90.0,Par le coté,2.0,2.0,0.0
1905,2022-01-30 19:51:23,Nuit,Normal,Sec,Route Nationale,110.0,Autre,1.0,,
1907,2022-01-20 23:03:16,Nuit,Normal,Sec,70.0,70.0,Par le coté,2.0,,1.0
1908,2022-01-14 07:55:36,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,1.0
1909,2022-01-11 09:23:23,Jour,Normal,Sec,Voie Communale,30.0,Par l'arrière,,6.0,0.0
1910,2022-01-29 07:15:52,Nuit,Normal,Sec,Route Départementale,70.0,Par le coté,2.0,2.0,
1911,2022-01-22 21:48:05,Nuit,Normal,Sec,Autoroute,130.0,,2.0,2.0,0.0
1915,2022-01-02 21:49:20,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,2.0,
1916,2022-01-24 06:43:35,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,2.0,
1918,2022-01-05 09:28:47,Jour,Normal,Sec,Voie Communale,30.0,,2.0,,
1919,2022-01-24 05:58:04,Nuit,Normal,Sec,Voie Communale,30.0,Autre,3.0,3.0,
1920,2022-01-10 05:43:58,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,,0.0
1922,2022-01-30 18:10:01,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,5.0,0.0
1924,2022-01-06 11:11:02,Jour,Normal,Sec,Route Départementale,70.0,Par le coté,2.0,4.0,1.0
1925,2022-01-13 05:31:07,Nuit,Normal,Sec,Voie Communale,40.0,Autre,,,
1927,2022-01-12 02:13:48,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,5.0,0.0
1928,2022-01-18 20:59:31,Nuit,Normal,Sec,Autoroute,130.0,,2.0,,0.0
1929,2022-01-13 02:30:16,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,
1932,2022-01-24 11:26:33,Jour,Normal,Sec,Voie Communale,40.0,,1.0,,
1933,2022-01-01 02:58:44,Nuit,Normal,Sec,Voie Communale,30.0,Autre,,1.0,0.0
1934,2022-01-20 06:41:14,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,4.0,0.0
1935,2022-01-28 23:17:48,Nuit,Normal,Sec,Voie Communale,50.0,,,2.0,
1939,2022-01-06 06:47:40,Nuit,Normal,Sec,70.0,70.0,Autre,1.0,,0.0
1941,2022-01-23 03:06:18,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,,1.0
1946,2022-01-27 11:24:52,Jour,Normal,Sec,70.0,70.0,,2.0,5.0,0.0
1947,2022-01-15 10:34:54,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,,
1950,2022-01-15 09:34:06,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,0.0
1952,2022-01-25 18:17:35,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,,0.0
1955,2022-01-23 03:19:02,Nuit,Normal,Sec,Voie Communale,30.0,Par l'arrière,2.0,4.0,0.0
1956,2022-01-20 20:19:46,Nuit,Normal,Sec,Route Départementale,70.0,Frontale,2.0,2.0,0.0
1958,2022-01-10 21:03:54,Nuit,Normal,Sec,80.0,80.0,Autre,1.0,1.0,1.0
1960,2022-01-06 04:50:55,Nuit,Normal,Sec,Voie Communale,40.0,,,1.0,0.0
1962,2022-01-31 06:33:41,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,3.0,1.0
1964,2022-01-29 17:10:34,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,,
1965,2022-01-24 10:23:25,Jour,Normal,Sec,Voie Communale,30.0,,2.0,2.0,0.0
1966,2022-01-31 14:01:15,Jour,Normal,Sec,Route Nationale,100.0,Autre,1.0,,0.0
1967,2022-01-14 02:02:41,Nuit,Normal,Sec,70.0,70.0,Par le coté,2.0,,0.0
1969,2022-01-06 04:56:35,Nuit,Normal,Sec,70.0,70.0,Par le coté,2.0,6.0,0.0
1973,2022-01-31 15:57:48,Jour,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,,1.0
1974,2022-01-20 12:16:11,Jour,Normal,Sec,Route Nationale,100.0,Autre,1.0,2.0,
1976,2022-01-21 06:16:43,Nuit,Normal,Sec,Route Départementale,75.0,Frontale,2.0,5.0,1.0
1977,2022-01-01 18:30:14,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,,0.0
1979,2022-01-24 18:00:35,Nuit,Normal,Sec,Route Départementale,80.0,Par l'arrière,2.0,3.0,
1980,2022-01-17 00:57:52,Nuit,Normal,Sec,50.0,50.0,,,1.0,0.0
1981,2022-01-02 19:24:43,Nuit,Normal,Sec,Voie Communale,30.0,Frontale,2.0,,0.0
1982,2022-01-11 00:44:32,Nuit,Normal,Sec,Route Nationale,100.0,Autre,,1.0,0.0
1989,2022-01-22 06:30:24,Nuit,Normal,Sec,70.0,70.0,,,2.0,1.0
1992,2022-01-20 23:09:31,Nuit,Normal,Sec,Route Départementale,80.0,Autre,1.0,,0.0
1993,2022-01-26 14:36:30,Jour,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,5.0,
1995,2022-01-02 11:55:29,Jour,Normal,Sec,Route Départementale,70.0,Frontale,2.0,,0.0
1996,2022-01-13 14:56:59,Jour,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,,1.0
1997,2022-01-02 23:57:38,Nuit,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,1.0
1998,2022-01-17 23:49:07,Nuit,Normal,Sec,Route Départementale,75.0,,2.0,6.0,0.0
1999,2022-01-15 19:25:41,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,2.0,
2001,2022-01-21 20:08:06,Nuit,Normal,Sec,Route Départementale,70.0,,2.0,5.0,
2002,2022-01-10 16:38:23,Jour,Normal,Sec,Route Départementale,80.0,Frontale,,,0.0
2003,2022-01-01 00:52:15,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,
2004,2022-01-21 01:50:14,Nuit,Normal,Sec,Voie Communale,50.0,Autre,,5.0,0.0
2006,2022-01-27 10:43:02,Jour,Normal,Sec,50.0,50.0,Par l'arrière,2.0,3.0,
2007,2022-01-11 03:15:48,Nuit,Normal,Sec,Voie Communale,30.0,,,,0.0
2010,2022-01-26 21:36:17,Nuit,Normal,Sec,Route Départementale,80.0,Autre,1.0,,1.0
2011,2022-01-18 03:44:49,Nuit,Normal,Sec,80.0,80.0,Autre,,1.0,
2012,2022-01-13 06:32:38,Nuit,Normal,Sec,80.0,80.0,,2.0,,0.0
2013,2022-01-12 22:36:23,Nuit,Normal,Sec,Route Départementale,75.0,Frontale,2.0,7.0,1.0
2017,2022-01-14 12:58:45,Jour,Normal,Sec,Route Nationale,90.0,Par le coté,,6.0,1.0
2018,2022-01-20 07:46:41,Nuit,Normal,Sec,Route Départementale,75.0,,,3.0,0.0
2022,2022-01-27 13:44:10,Jour,Normal,Sec,Autoroute,130.0,Par l'arrière,,5.0,0.0
2023,2022-01-15 02:11:22,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,,
2024,2022-01-18 00:44:57,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,1.0,0.0
2035,2022-01-25 20:45:05,Nuit,Normal,Sec,Route Départementale,80.0,,,4.0,0.0
2037,2022-01-18 08:22:35,Jour,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,,0.0
2040,2022-01-26 11:27:47,Jour,Normal,Sec,Voie Communale,40.0,,3.0,3.0,0.0
2041,2022-01-02 14:23:57,Jour,Normal,Sec,70.0,70.0,Autre,1.0,,0.0
2042,2022-01-18 21:45:08,Nuit,Normal,Sec,Route Départementale,70.0,Autre,1.0,1.0,0.0
2044,2022-01-05 03:56:44,Nuit,Normal,Sec,70.0,70.0,Par l'arrière,2.0,6.0,
2046,2022-01-06 06:32:48,Nuit,Normal,Sec,Autoroute,130.0,Autre,1.0,2.0,0.0
2047,2022-01-11 15:09:15,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,2.0,0.0
2049,2022-01-15 10:33:59,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,8.0,0.0
2050,2022-01-24 18:39:37,Nuit,Normal,Sec,Voie Communale,30.0,Autre,,2.0,0.0
2052,2022-01-14 14:13:20,Jour,Normal,Sec,Route Nationale,90.0,,2.0,3.0,1.0
2053,2022-01-14 04:29:12,Nuit,Normal,Sec,Route Départementale,80.0,,2.0,,0.0
2054,2022-01-20 15:12:51,Jour,Normal,Sec,Voie Communale,50.0,Autre,1.0,2.0,0.0
2058,2022-01-21 19:54:29,Nuit,Normal,Sec,Route Départementale,75.0,Frontale,2.0,,
2061,2022-01-29 09:07:42,Jour,Normal,Sec,Voie Communale,30.0,,2.0,2.0,0.0
2062,2022-01-15 00:00:09,Nuit,Normal,Sec,70.0,70.0,Autre,1.0,,0.0
2066,2022-01-16 20:36:30,Nuit,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,
2069,2022-01-13 23:13:46,Nuit,Normal,Sec,Route Départementale,80.0,,2.0,2.0,
2070,2022-01-15 16:40:58,Jour,Normal,Sec,Route Départementale,80.0,Frontale,2.0,,
2074,2022-01-13 11:46:09,Jour,Normal,Sec,50.0,50.0,,1.0,1.0,0.0
2076,2022-01-22 00:16:48,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,,0.0
2077,2022-01-11 00:03:14,Nuit,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,,
2079,2022-01-11 03:31:33,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,3.0,1.0
2080,2022-01-26 09:39:52,Jour,Normal,Sec,Route Départementale,70.0,,4.0,,0.0
2084,2022-01-16 13:33:42,Jour,Normal,Sec,Voie Communale,40.0,Autre,,4.0,1.0
2086,2022-01-10 14:42:25,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,,5.0,
2087,2022-01-29 22:22:30,Nuit,Normal,Sec,80.0,80.0,Autre,1.0,,0.0
2088,2022-01-27 02:57:20,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,3.0,0.0
2090,2022-01-15 20:48:08,Nuit,Normal,Sec,70.0,70.0,,2.0,3.0,
2093,2022-01-30 16:17:19,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,
2095,2022-01-25 06:22:11,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,,0.0
2099,2022-01-05 17:23:20,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,4.0,
2101,2022-01-21 14:15:09,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,,2.0,0.0
2102,2022-01-27 03:59:26,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,,
2106,2022-01-31 03:50:49,Nuit,Normal,Sec,Route Départementale,80.0,,,1.0,0.0
2108,2022-01-22 01:38:59,Nuit,Normal,Sec,Voie Communale,30.0,Autre,1.0,,0.0
2109,2022-01-14 18:35:29,Nuit,Normal,Sec,70.0,70.0,Par l'arrière,,4.0,1.0
2110,2022-01-23 18:58:03,Nuit,Normal,Sec,50.0,50.0,Par l'arrière,,4.0,
2111,2022-01-21 00:32:09,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,5.0,0.0
2112,2022-01-01 07:57:02,Nuit,Normal,Sec,Route Départementale,70.0,Autre,,,0.0
2114,2022-01-13 10:57:01,Jour,Normal,Sec,Route Départementale,70.0,,,,0.0
2115,2022-01-05 11:46:12,Jour,Normal,Sec,Autoroute,130.0,Par le coté,,,0.0
2118,2022-01-06 20:49:11,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,2.0,0.0
2119,2022-01-10 11:06:46,Jour,Normal,Sec,Route Nationale,110.0,Par le coté,2.0,4.0,0.0
2120,2022-01-17 03:09:26,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,,1.0
2122,2022-01-05 06:15:16,Nuit,Normal,Sec,Route Départementale,80.0,,3.0,8.0,
2124,2022-01-21 08:52:53,Jour,Normal,Sec,Voie Communale,50.0,,2.0,4.0,
2125,2022-01-31 06:16:45,Nuit,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,,1.0
2126,2022-01-02 09:51:10,Jour,Normal,Sec,70.0,70.0,,,2.0,0.0
2127,2022-01-23 23:47:23,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,2.0,
2128,2022-01-26 01:57:07,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,,1.0
2130,2022-01-01 18:34:08,Nuit,Normal,Sec,Voie Communale,40.0,,2.0,8.0,
2131,2022-01-01 15:30:42,Jour,Normal,Sec,Voie Communale,30.0,Autre,1.0,4.0,0.0
2132,2022-01-21 14:31:58,Jour,Normal,Sec,Route Départementale,70.0,Autre,1.0,1.0,0.0
2135,2022-01-12 01:16:16,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,,0.0
